D MUNCHEN02;Niemcy;TECHNISCHE UNIVERSTAT MUNCHEN;W3;Chemiczny;true;;true;;false;;"(1,10)";0442;Chemistry;;11.04.2014;30.09.2021
D MUNCHEN02;Niemcy;TECHNISCHE UNIVERSTAT MUNCHEN;W4N;Informatyki i Telekomunikacji;true;;true;;true;;"(2,10)";0481;Computer science;;11.03.2014;30.09.2021
D MUNSTER02;Niemcy;FACHHOCHSCHULE MÜNSTER;W11;Podstawowych Problemów Techniki;true;;true;;true;;"(2,12)";0710;Engineering and engineering trades;;22.01.2014;30.09.2021
D MUNSTER02;Niemcy;FACHHOCHSCHULE MÜNSTER;W1;Architektury;true;;true;;false;;"(3,12)";0730;Architecture and construction;;16.04.2014;30.09.2021
D MUNSTER02;Niemcy;FACHHOCHSCHULE MÜNSTER;W2;Budownictwa;true;;true;;false;;"(2,6)";0732;Building and civil engineering;;01.10.2014;30.09.2021
D PADERBO01;Niemcy;UNIVERSITÄT PADERBORN;W11;Podstawowych Problemów Techniki;true;;false;;false;;"(2,6)";0480;Informatics, computer science;;01.10.2014;30.09.2022
D PADERBO01;Niemcy;UNIVERSITÄT PADERBORN;W4N;Informatyki i Telekomunikacji;true;;false;;false;;"(3,6)";0480;Informatics, computer science;;01.10.2014;30.09.2022
D REGENSB02;Niemcy;OTH REGENSBURG;W10;Mechaniczny;true;;false;;false;;"(2,12)";0521;Mechanics and metal work;;15.05.2014;30.09.2021
D SCHMALK01;Niemcy;FACHHOCHSCHULE SCHMALKALDEN HOCHSCHULE FÜR TECHNIK UND WIRTSCHAFT;W10;Mechaniczny;true;;true;;true;;"(2,5)";0500;Engineering, manufacturing and construction/Engineering and engineering trades;;13.12.2016;30.09.2021
D SIEGEN01;Niemcy;UNIVERSITAET SIEGEN;W8N;Zarządzania;true;;true;;true;;"(2,10)";0311;Economics;;13.05.2014;30.09.2021
D SIEGEN01;Niemcy;UNIVERSITAET SIEGEN;W4N;Informatyki i Telekomunikacji;true;;true;;true;;"(2,10)";0610;Information and communication technologies - ICT;;13.05.2014;30.09.2021
D STUTTGA01;Niemcy;UNIVERSITAT STUTTGART;W10;Mechaniczny;true;;true;;false;;"(2,6)";0715;Mechanics and metal trades;;23.12.2016;30.09.2021
D TRIER02;Niemcy;TRIER UNIVERSITY OF APPLIED SCIENCES;W4N;Informatyki i Telekomunikacji;true;;true;;false;;"(2,5)";0481;Computer Science;;06.10.2017;30.09.2021
D WIESBAD01;Niemcy;HOCHSCHULE RHEINMAIN;W4N;Informatyki i Telekomunikacji;true;;true;;false;;"(2,6)";0481;Computer science;;31.01.2014;30.09.2021
D WIESBAD01;Niemcy;HOCHSCHULE RHEINMAIN;W1;Architektury;true;;true;;false;;"(2,6)";0581;Architecture and town planning;;31.01.2014;30.09.2021
D WOLFENB01;Niemcy;OSTFALIA HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN;W10;Mechaniczny;true;;false;;false;;"(4,10)";0716;Motor vehicles, ships and aircraft;;01.10.2014;30.09.2021
D WURZBUR01;Niemcy;JULIUS-MAXIMILIANS-UNIVERSITÄT WÜRZBURG;W11;Podstawowych Problemów Techniki;true;;true;;true;;"(5,10)";0441;Physics;;15.11.2013;30.09.2021
D WURZBUR01;Niemcy;JULIUS-MAXIMILIANS-UNIVERSITÄT WÜRZBURG;W13;Matematyki;true;;true;;true;;"(5,10)";0460;Mathematics and statistics;;15.11.2013;30.09.2021
D WURZBUR01;Niemcy;JULIUS-MAXIMILIANS-UNIVERSITÄT WÜRZBURG;W4N;Informatyki i Telekomunikacji;true;;true;;true;;"(5,10)";0481;Computer science;;15.11.2013;30.09.2021
D ZITTAU01;Niemcy;HOCHSCHULE ZITTAU-GOERLITZ;W5;Elektryczny;true;;false;;false;;"(1,6)";0610;Information and communication technologies - ICT;;13.04.2017;30.09.2021
D ZITTAU01;Niemcy;HOCHSCHULE ZITTAU-GOERLITZ;W4N;Informatyki i Telekomunikacji;true;;false;;false;;"(6,6)";0710;Engineering and engineering trades;;13.04.2017;30.09.2021
D ZITTAU01;Niemcy;HOCHSCHULE ZITTAU-GOERLITZ;W8N;Zarządzania;true;;false;;false;;"(12,10)";0340;Business and Administration;;14.01.2014;30.09.2021
DK KOBENHA58;Dania;K?BENHAVNS ERHVERVSAKADEMI;W1;Architektury;true;;false;;false;;"(2,5)";0730;Architecture and construction;;23.06.2014;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W2;Budownictwa;false;;true;;true;;"(2,5)";0732;Building and civil engineering;;01.02.2018;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W3;Chemiczny;true;;true;;true;;"(2,5)";0711;Chemical engineering and processes;;01.02.2018;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W12N;Elektroniki Fotoniki i Mikrosystemów;true;;true;;true;;"(2,5)";0713;Electricity and energy;;01.02.2018;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W7;Inżynierii Środowiska;true;;true;;true;;"(2,5)";0712;Environmental protection technology (07.4 - 85, 850, 851, 859);;01.02.2018;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W4N;Informatyki i Telekomunikacji;true;;true;;false;;"(2,5)";0610;Information and Communication Technologies (ICTs), not further defined (4, 48);;01.02.2018;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W9;Mechaniczno-Energetyczny;true;;true;;true;;"(2,5)";0714;Electronics;;01.02.2018;30.09.2021
DK ODENSE01;Dania;UNIVERSITY OF SOUTHERN DENMARK (SDU);W4N;Informatyki i Telekomunikacji;true;;true;;true;;"(2,5)";0710;Engineering and engineering trades, not further defined (06.0 - 5, 52, 520);;01.02.2018;30.09.2021
DK RISSKOV06;Dania;VIA UNIVERSITY COLLEGE;W2;Budownictwa;true;;true;;false;;"(4,5)";0730;Architecture and construction;;17.03.2017;30.09.2021
E ALICANT01;Hiszpania;UNIVERSIDAD DE ALICANTE;W11;Podstawowych Problemów Techniki;true;;false;;false;;"(1,5)";0441;Physics;;09.12.2013;30.09.2021
E ALICANT01;Hiszpania;UNIVERSIDAD DE ALICANTE;W3;Chemiczny;false;;false;;true;;"(2,5)";0531;Chemistry;;22.11.2017;30.09.2021
E ALICANT01;Hiszpania;UNIVERSIDAD DE ALICANTE;W1;Architektury;true;;false;;false;;"(3,5)";0580;Architecture and building;;09.12.2013;30.09.2021
